ATG,Antigua and Barbuda,Median,2.7414,2.7789,2.8230,2.8697,2.9130,2.9515,2.9788,2.9906,2.9846,2.9631,2.9290,2.8785,2.8181,2.7510,2.6774,2.6001,2.5210,2.4401,2.3594,2.2796,2.2007,2.1228,2.0487,1.9770,1.9129,1.8557,1.8029,1.7539,1.7100,1.6694
ATG,Antigua and Barbuda,Upper,3.4999,3.5478,3.6041,3.6637,3.7189,3.7681,3.8030,3.8181,3.8103,3.7830,3.7394,3.6749,3.5979,3.5122,3.4181,3.3195,3.2185,3.1153,3.0122,2.9103,2.8096,2.7101,2.6155,2.5240,2.4421,2.3692,2.3017,2.2391,2.1831,2.1313
ARG,Argentina,Lower,3.3445,3.2984,3.2298,3.1520,3.0650,2.9885,2.9244,2.8749,2.8398,2.7954,2.7452,2.6884,2.6393,2.6237,2.6314,2.6701,2.6986,2.6946,2.6611,2.5956,2.5048,2.3964,2.2933,2.2171,2.1591,2.1132,2.0589,1.9863,1.8650,1.6941
ARG,Argentina,Median,3.4220,3.3671,3.3003,3.2176,3.1318,3.0533,2.9876,2.9360,2.8956,2.8540,2.8007,2.7447,2.7028,2.6867,2.6961,2.7247,2.7560,2.7619,2.7273,2.6544,2.5560,2.4487,2.3509,2.2705,2.2084,2.1591,2.1078,2.0367,1.9389,1.8403
ARG,Argentina,Upper,3.5017,3.4417,3.3767,3.2856,3.1974,3.1148,3.0475,2.9972,2.9561,2.9211,2.8605,2.8003,2.7637,2.7478,2.7548,2.7790,2.8174,2.8334,2.7946,2.7186,2.6102,2.4996,2.4026,2.3207,2.2559,2.2066,2.1654,2.0890,2.0098,1.9556
ARM,Armenia,Lower,3.1427,2.9065,2.6876,2.8615,2.3265,2.1831,2.0639,1.9649,1.8854,1.8241,1.7779,1.7451,1.7273,1.7219,1.7264,1.7404,1.7606,1.7866,1.8136,1.8403,1.8670,1.8893,1.9051,1.9107,1.9057,1.8899,1.8671,1.8255,1.7782,1.7197
ARM,Armenia,Median,3.3129,3.0439,2.8080,2.9929,2.4368,2.2920,2.1709,2.0696,1.9879,1.9241,1.8778,1.8461,1.8299,1.8261,1.8326,1.8481,1.8696,1.8967,1.9265,1.9559,1.9825,2.0040,2.0188,2.0273,2.0275,2.0210,2.0083,1.9913,1.9704,1.9449
ARM,Armenia,Upper,3.4902,3.1872,2.9384,3.1339,2.5582,2.4097,2.2839,2.1802,2.0977,2.0340,1.9875,1.9567,1.9403,1.9369,1.9448,1.9619,1.9858,2.0134,2.0445,2.0752,2.1030,2.1240,2.1378,2.1449,2.1484,2.1511,2.1555,2.1683,2.1824,2.1972
AUS,Australia,Lower,1.8221,1.7731,1.7222,1.6741,1.6236,1.5710,1.5182,1.4635,1.4082,1.3519,1.2952,1.2404,1.1869,1.1374,1.0926,1.0549,1.0255,1.0034,0.9877,0.9719,0.9551,0.9378,0.9183,0.8975,0.8750,0.8514,0.8254,0.7961,0.7617,0.7234
AUS,Australia,Median,1.8935,1.8322,1.7764,1.7238,1.6722,1.6189,1.5638,1.5073,1.4496,1.3921,1.3364,1.2832,1.2323,1.1854,1.1434,1.1066,1.0751,1.0485,1.0260,1.0067,0.9878,0.9693,0.9498,0.9296,0.9078,0.8852,0.8609,0.8358,0.8115,0.7879
AUS,Australia,Upper,1.9663,1.8922,1.8297,1.7756,1.7282,1.6770,1.6226,1.5643,1.5005,1.4372,1.3772,1.3229,1.2738,1.2296,1.1895,1.1529,1.1189,1.0886,1.0621,1.0400,1.0220,1.0055,0.9892,0.9687,0.9458,0.9219,0.8982,0.8785,0.8629,0.8497
AUT,Austria,Lower,1.7036,1.6610,1.6153,1.5680,1.5200,1.4706,1.4214,1.3727,1.3238,1.2777,1.2344,1.1927,1.1544,1.1175,1.0843,1.0530,1.0239,0.9964,0.9690,0.9445,0.9194,0.8947,0.8703,0.8445,0.8190,0.7925,0.7648,0.7378,0.7099,0.6790
AUT,Austria,Median,1.8062,1.7487,1.6929,1.6382,1.5846,1.5323,1.4807,1.4310,1.3831,1.3379,1.2950,1.2541,1.2157,1.1790,1.1441,1.1108,1.0793,1.0491,1.0207,0.9935,0.9683,0.9442,0.9206,0.8976,0.8750,0.8522,0.8297,0.8073,0.7860,0.7651
AUT,Austria,Upper,1.9169,1.8419,1.7742,1.7134,1.6550,1.5985,1.5427,1.4900,1.4402,1.3930,1.3485,1.3073,1.2677,1.2302,1.1947,1.1607,1.1290,1.0984,1.0699,1.0433,1.0189,0.9956,0.9739,0.9544,0.9358,0.9196,0.9069,0.8937,0.8830,0.8736
AZE,Azerbaijan,Lower,6.0378,6.3124,6.5391,6.6911,6.7288,6.6482,6.4700,6.2208,5.9446,5.6852,5.4498,5.2426,5.0593,4.8859,4.7121,4.5290,4.3377,4.1406,3.9488,3.7720,3.6130,3.4743,3.3604,3.2705,3.1990,3.1403,3.0810,3.0082,2.9131,2.7968
AZE,Azerbaijan,Median,6.2039,6.4514,6.6722,6.8250,6.8647,6.7828,6.6008,6.3481,6.0723,5.8089,5.5722,5.3658,5.1839,5.0119,4.8340,4.6480,4.4539,4.2545,4.0644,3.8874,3.7321,3.5978,3.4867,3.3941,3.3194,3.2578,3.2048,3.1569,3.1059,3.0487
AZE,Azerbaijan,Upper,6.3696,6.5904,6.8068,6.9623,6.9977,6.9136,6.7328,6.4804,6.2055,5.9392,5.6981,5.4934,5.3091,5.1375,4.9582,4.7685,4.5739,4.3738,4.1828,4.0082,3.8587,3.7289,3.6191,3.5263,3.4458,3.3787,3.3332,3.3127,3.3060,3.3176
BHS,Bahamas,Lower,3.8950,3.9617,4.0117,4.0483,4.0681,4.0719,4.0649,4.0455,4.0140,3.9623,3.9025,3.8293,3.7453,3.6570,3.5568,3.4487,3.3444,3.2456,3.1418,3.0388,2.9352,2.8303,2.7158,2.5941,2.4715,2.3467,2.2271,2.1105,1.9968,1.8903
BHS,Bahamas,Median,4.5805,4.5634,4.5483,4.5318,4.5141,4.4929,4.4698,4.4376,4.3942,4.3388,4.2709,4.1915,4.0995,3.9998,3.8938,3.7854,3.6799,3.5738,3.4676,3.3703,3.2743,3.1812,3.0876,2.9989,2.9156,2.8289,2.7451,2.6647,2.5914,2.5172
BHS,Bahamas,Upper,5.3906,5.2581,5.1481,5.0556,4.9898,4.9371,4.8858,4.8447,4.7964,4.7302,4.6568,4.5752,4.4791,4.3735,4.2641,4.1454,4.0361,3.9269,3.8194,3.7265,3.6457,3.5717,3.5100,3.4567,3.4227,3.4001,3.3766,3.3491,3.3356,3.3324
