"","Country","Reported.number.of.people.receiving.ART","Estimated.number.of.people.living.with.HIV","Estimated.ART.coverage.among.people.living.with.HIV....","WHO.Region"
"54","Estonia","4300","7400[6600–8200]","59[53–66]","Europe"
"55","Eswatini","177000","210000[190000–220000]","86[80–94]","Africa"
"56","Ethiopia","450000","690000[530000–900000]","65[50–85]","Africa"
"57","Fiji","Nodata","Nodata","Nodata","Western Pacific"
"58","Finland","3000","4000[3100–4900]","76[60–95]","Europe"
"59","France","148000","180000[150000–210000]","83[69–95]","Europe"
"60","Gabon","35600","53000[43000–67000]","67[54–85]","Africa"
"61","Gambia","7500","26000[21000–33000]","29[24–38]","Africa"
"62","Georgia","4600","9400[8100–11000]","49[42–57]","Europe"
"63","Germany","69900","87000[71000–100000]","80[65–93]","Europe"
"64","Ghana","113000","330000[280000–390000]","34[28–39]","Africa"
"65","Greece","Nodata","Nodata","Nodata","Europe"
"66","Guatemala","20200","47000[43000–51000]","43[40–47]","Americas"
"67","Guinea","48600","120000[100000–140000]","40[34–48]","Africa"
"68","Guinea-Bissau","14600","44000[39000–49000]","33[29–37]","Africa"
"69","Guyana","5600","8200[7200–9400]","68[60–78]","Americas"
"70","Haiti","91500","160000[140000–180000]","58[52–65]","Americas"
"71","Honduras","11700","23000[18000–28000]","50[40–61]","Americas"
"72","Hungary","2000","3700[3200–4200]","56[48–63]","Europe"
"73","Iceland","250","500[500–500]","79[71–87]","Europe"
"74","India","Nodata","Nodata","Nodata","South-East Asia"
"75","Indonesia","108000","640000[550000–750000]","17[15–20]","South-East Asia"
"76","Iran (Islamic Republic of)","12400","61000[34000–120000]","20[11–39]","Eastern Mediterranean"
"77","Ireland","5700","7200[6200–8000]","80[69–89]","Europe"
"78","Israel","Nodata","9000[8000–10000]","Nodata","Europe"
"79","Italy","118000","130000[110000–140000]","91[78–95]","Europe"
"80","Jamaica","12600","40000[35000–46000]","31[27–36]","Americas"
"81","Japan","23700","30000[25000–34000]","80[68–92]","Western Pacific"
"82","Jordan","310","500[500–500]","84[76–95]","Eastern Mediterranean"
"83","Kazakhstan","15000","26000[24000–27000]","58[54–62]","Europe"
"84","Kenya","1068000","1600000[1300000–1900000]","68[58–82]","Africa"
"85","Kuwait","400","640[580–700]","62[55–67]","Eastern Mediterranean"
"86","Kyrgyzstan","3700","8500[6500–12000]","43[33–59]","Europe"
"87","Lao People's Democratic Republic","6500","12000[11000–14000]","54[48–62]","Western Pacific"
"88","Latvia","2400","5300[4800–5900]","45[41–50]","Europe"
"89","Lebanon","1500","2500[2200–2800]","60[53–67]","Eastern Mediterranean"
"90","Lesotho","206000","340000[320000–360000]","61[57–65]","Africa"
"91","Liberia","13900","39000[36000–44000]","35[32–39]","Africa"
"92","Libya","4100","9200[8300–10000]","44[40–49]","Eastern Mediterranean"
"93","Lithuania","Nodata","Nodata","Nodata","Europe"
"94","Luxembourg","890","1200[1000–1300]","77[67–86]","Europe"
"95","Madagascar","3500","39000[30000–55000]","9[7–13]","Africa"
